time,open,Percent change in price (close/open),close,BTC Dominance Open,Percent change in dominance (close/open),BTC Dominance Close,Volume,RSI (relative strength index),HV (historical volatility)
2019-09-04T20:00:00-04:00,10565.92,-0.0135%,10564.49,72.62599732,0.2294%,72.79258387,33970.96064,54.0266999,53.23707533
2019-09-05T20:00:00-04:00,10563.13,-2.5030%,10298.73,72.74133527,-0.0404%,72.71197947,58799.64096,49.74501794,54.38613306
2019-09-06T20:00:00-04:00,10298.71,1.5261%,10455.88,72.69161498,-0.7611%,72.1383392,27637.87739,52.15943197,45.37052196
2019-09-07T20:00:00-04:00,10455.9,-0.7146%,10381.18,72.13087875,-0.5980%,71.6995049,23984.67202,50.90743089,42.27348289
2019-09-08T20:00:00-04:00,10381.24,-0.7525%,10303.12,71.67867582,-0.0900%,71.61418777,39835.72761,49.56846369,43.30820541
2019-09-09T20:00:00-04:00,10302.58,-1.9843%,10098.15,71.61047031,-0.3512%,71.35900733,28915.41223,46.1369622,45.99372745
2019-09-10T20:00:00-04:00,10098.19,0.5956%,10158.33,71.35859399,0.5689%,71.76457545,31953.82456,47.29071411,45.64222646
2019-09-11T20:00:00-04:00,10158.75,2.5226%,10415.01,71.76259452,0.5820%,72.18022454,34511.16276,52.01218279,31.70838357
2019-09-12T20:00:00-04:00,10415.01,-0.7004%,10342.06,72.15994876,-0.2249%,71.99766576,30280.33978,50.62425592,27.35991705
2019-09-13T20:00:00-04:00,10344.13,-0.0881%,10335.02,72.01842486,-0.7297%,71.49288457,23621.53352,50.48424902,27.34931353
2019-09-14T20:00:00-04:00,10332.81,-0.2981%,10302.01,71.48103553,-0.0750%,71.42738974,18047.65401,49.78893469,27.3236795
2019-09-15T20:00:00-04:00,10303.34,-0.5050%,10251.31,71.3771961,-0.5407%,70.99128388,28971.40166,48.67995757,23.25653145
2019-09-16T20:00:00-04:00,10249.68,-0.6035%,10187.82,70.932462,-1.5011%,69.86767559,22914.32456,47.26034862,21.15189972
2019-09-17T20:00:00-04:00,10187.48,-0.2993%,10156.99,69.94585834,-1.2785%,69.05162337,24250.2493,46.55045166,20.95742922
2019-09-18T20:00:00-04:00,10156.41,0.8653%,10244.29,69.05446146,0.2064%,69.19700237,44826.28258,48.89153377,21.47919054
